id,name,current_category,new_category
1247,"Professional Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
1248,"Impressions Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
1267,"Planet Plasterboard","Concrete Repair Suppliers","Plasterboard / Gyprocking Contractors"
1293,"Country Blinds","Remedial Consultants","Blinds & Window Covering Installers"
1294,"Newtons Building & Landscape Supplies","Remedial Consultants","Landscape Contractors"
1300,"The Box Gutter Guys","Licensed Waterproofers","Box Gutter Contractors"
1302,"Irrigation and Plumbing Doctor","Leak Detection Specialists","Commercial Plumbers"
1312,"Ultimate Roofing & Guttering Pty Ltd","Roof Leak Repair Contractors","Roofing Contractors"
1313,"Peake Roofing","Roof Leak Repair Contractors","Roofing Contractors"
1316,"The Gutter Guard","Box Gutter Contractors","Roof Ventilation Installers"
1317,"All Seasons Gutter Guard","Box Gutter Contractors","Roof Ventilation Installers"
1320,"ECO Gutter & Roofing","Box Gutter Contractors","Roofing Contractors"
1332,"Tradition Rebuilt Stonemasonry","Stone Restoration Contractors","Stonemasons"
1350,"C & N Concrete Sawing & Drilling Pty Ltd","Selective Demolition Contractors","Concrete Saw Cutting"
1353,"Total Adelaide Plumbing","Drainage Contractors","Commercial Plumbers"
1354,"SA Express Plumbing and Gas","Drainage Contractors","Commercial Plumbers"
1366,"NRG Solar -National Renewable Group","Solar Panel Installers","Solar & Renewables"
1368,"Adelaide Line Marking Services","EV Charging Installers","Line Marking Contractors"
1459,"J & E Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
1502,"Beaumont Roofing and Repairs","Roofing Contractors","Roof Leak Repair Contractors"
1505,"G A Davis Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
1506,"Petterd's Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
1507,"Express Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
1508,"Image One Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
1509,"Laser Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
1510,"Jackson & Cooper Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
1511,"RDW Roofing","Roof Leak Repair Contractors","Roofing Contractors"
1512,"J N J Roofing","Roof Leak Repair Contractors","Roofing Contractors"
1513,"Just Roofing Pty Ltd Tasmania","Box Gutter Contractors","Roofing Contractors"
1520,"Statewide Skylights","Glaziers","Skylight Installers"
1522,"R L Welding","Balustrade Contractors","Welders"
1532,"20th Century Plumbing Pty Ltd","Drainage Contractors","Commercial Plumbers"
1533,"Sonney's Plumbing Service","Drainage Contractors","Commercial Plumbers"
1534,"Countrywide Plumbing","Drainage Contractors","Commercial Plumbers"
1571,"I.D Joinery","Carpenters","Joiners"
1626,"Struciv Structural/ Civil ENGINEERS","Structural Engineers","Civil Engineers"
1740,"Homestyle Roof Painters & Repairs","Leak Detection Specialists","Roof Leak Repair Contractors"
1742,"Southern Cross Plumbing & Gas","Leak Detection Specialists","Commercial Plumbers"
1743,"Reactive Plumbing & Electrical Brisbane","Leak Detection Specialists","Commercial Plumbers"
1744,"Reactive Plumbing Drains & Electrical","Leak Detection Specialists","Commercial Plumbers"
1745,"MELBOURNE ROOF REPAIRS PTY LTD","Roofing Contractors","Roof Leak Repair Contractors"
1763,"Nationwide Roof Restoration","Roofing Contractors","Roof Leak Repair Contractors"
1770,"Advantage Roof Repairs And Gutters","Roofing Contractors","Roof Leak Repair Contractors"
1780,"Sydney Plumber Now","Roof Leak Repair Contractors","Commercial Plumbers"
1782,"Plumbing Heroes","Roof Leak Repair Contractors","Commercial Plumbers"
1787,"Sydney Plumber Co","Roof Leak Repair Contractors","Commercial Plumbers"
1789,"We Care Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
1790,"Sydney Plumbing Services","Roof Leak Repair Contractors","Commercial Plumbers"
1794,"Plumbing And Gas Fitting Australia","Roof Leak Repair Contractors","Commercial Plumbers"
1796,"Emergency Plumbers","Roof Leak Repair Contractors","Commercial Plumbers"
1797,"Wlico Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
1799,"ABAC Plumbing Service","Roof Leak Repair Contractors","Commercial Plumbers"
1801,"You Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
1802,"A.A Dial-a-Plumber 24 Hour Emergency Plumbing, Drainage, Gasfitting, Blocked Drain & Hot Water Mobile Repair Service","Roof Leak Repair Contractors","Drainage Contractors"
1804,"Coolibah Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
1807,"Plumber City","Roof Leak Repair Contractors","Commercial Plumbers"
1809,"Local Plumbing Heroes","Roof Leak Repair Contractors","Commercial Plumbers"
1811,"Drain King Plumbing & Drainage Services","Roof Leak Repair Contractors","Drainage Contractors"
1812,"24hr Plumbers Sydney - Emergency Plumber","Roof Leak Repair Contractors","Commercial Plumbers"
1818,"H2O Pro Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
1819,"Stockman Plumbing Services Pty Ltd","Roof Leak Repair Contractors","Commercial Plumbers"
1821,"Best Plumbing Maintenance","Roof Leak Repair Contractors","Commercial Plumbers"
1823,"D.C.I Plumbing & Gas Pty LTD","Roof Leak Repair Contractors","Commercial Plumbers"
1824,"Adelaide Plumbing Doctor","Roof Leak Repair Contractors","Commercial Plumbers"
1830,"Plumber Enfield","Roof Leak Repair Contractors","Commercial Plumbers"
1833,"Professional Plumbing Adelaide","Roof Leak Repair Contractors","Commercial Plumbers"
1835,"Adelaide Plumber Hire","Roof Leak Repair Contractors","Commercial Plumbers"
1837,"W.F. Gray & Co Master Plumbers","Roof Leak Repair Contractors","Commercial Plumbers"
1838,"Plumber In Park Side","Roof Leak Repair Contractors","Commercial Plumbers"
1840,"CCTV & Leak Location","Roof Leak Repair Contractors","CCTV Installers"
1842,"PlumbX Plumbing & Excavation","Roof Leak Repair Contractors","Earthmoving Contractors"
1845,"Blocked Drains Today","Roof Leak Repair Contractors","Drainage Contractors"
1846,"Bass Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
