id,name,current_category
3689,"Sun Current","Remedial Contractors"
3690,"Accel Energy Technologies","Remedial Contractors"
3695,"Sell Smart Solutions","Remedial Contractors"
3696,"Energy Smart National Office","Remedial Contractors"
3699,"BRIGHSUN NEW ENERGY PTY LTD","Remedial Contractors"
3700,"Energy Matters","Remedial Contractors"
3702,"Infinity Power","Remedial Contractors"
3703,"SunEdison Australia","Remedial Contractors"
3705,"Krypton Group","Remedial Contractors"
3706,"Future Energy Pty Ltd","Remedial Contractors"
3707,"Institute Of Public Safety","Remedial Contractors"
3709,"Securetrac","Remedial Contractors"
3710,"Technology Safe","Remedial Contractors"
3711,"Aspect Monitoring Services Pty Ltd","Remedial Contractors"
3712,"Computer Team Pty Ltd","Remedial Contractors"
3716,"Bluedot Information Technology PTY LTD","Remedial Contractors"
3717,"Assurance Pty Ltd","Remedial Contractors"
3718,"O2 Networks Pty Ltd","Remedial Contractors"
3721,"Business Protection Group","Remedial Contractors"
3723,"Pyrok Pty Ltd","Remedial Contractors"
3726,"Matryx Consulting Pty Ltd","Remedial Contractors"
3727,"Greyscan Detection","Remedial Contractors"
3729,"Caught In The Act Video Surveillance","Remedial Contractors"
3748,"Ideal Air Group","Remedial Contractors"
3749,"Acoustiwool","Remedial Contractors"
3750,"Global Eco & Environmental Solutions","Remedial Contractors"
3751,"Uniflex (Aust) P/L","Remedial Contractors"
3752,"M & L Scott Pty Ltd","Remedial Contractors"
3755,"Meiya Range Hood Co","Remedial Contractors"
3756,"Rangehood Range Pty Ltd","Remedial Contractors"
3757,"Goldenhood Rangehoods","Remedial Contractors"
3758,"Hi -Grade Industry Pty Ltd","Remedial Contractors"
3760,"Australian Rangehood Installation","Remedial Contractors"
3761,"A'Vard Industries Pty Ltd","Remedial Contractors"
3762,"Zkleen Rangehood filters","Remedial Contractors"
3765,"Subcool Services","Remedial Contractors"
3766,"Blythe Clean Sweep","Remedial Contractors"
3768,"Paltech","Remedial Contractors"
3769,"Duo-Duct Fittings","Remedial Contractors"
3771,"All About Sheetmetal","Remedial Contractors"
3772,"Alpha Supply","Remedial Contractors"
3828,"Axiom International Trade","Remedial Contractors"
3833,"Ezy-Action P/L","Remedial Contractors"
3838,"Modern Roller Shutters","Remedial Contractors"
3841,"Door Image Australia Pty Ltd","Remedial Contractors"
3842,"A & A Doorologist","Remedial Contractors"
3843,"Automatic Entry","Remedial Contractors"
3844,"Stop The Burglar","Remedial Contractors"
3846,"Fermax Victoria / EGi#","Remedial Contractors"
3847,"Donvac Sales Pty Ltd","Remedial Contractors"
3848,"Genie Electronics Pty Ltd","Remedial Contractors"
3850,"Autophone Australia (Sales) Pty Ltd","Remedial Contractors"
3851,"Valet - Croydon / Unitech Services","Remedial Contractors"
3852,"Antenna Connections Pty Ltd","Remedial Contractors"
3853,"G Technical Services","Remedial Contractors"
3854,"Remote Control Access","Remedial Contractors"
3855,"Advanced Time Systems","Remedial Contractors"
3856,"Action - Priority","Remedial Contractors"
3857,"Aggreko - Head Office - Braeside","Remedial Contractors"
3859,"HESTA Super Fund","Remedial Contractors"
3860,"J Anderson & Co Pty Ltd","Remedial Contractors"
3861,"GLR SOLUTIONS","Remedial Contractors"
4167,"The Maintenance Man","Remedial Contractors"
4168,"Wastego","Remedial Contractors"
4169,"Cleanaway","Remedial Contractors"
4170,"Aaaard Yakka","Remedial Contractors"
4172,"Visy Recycling Pty Ltd","Remedial Contractors"
4173,"Miniskips","Remedial Contractors"
4176,"1300Junk Away Pty Ltd","Remedial Contractors"
4177,"Mobile Skips","Remedial Contractors"
4178,"Trailer Trash","Remedial Contractors"
4180,"Hard Rubbish 2 Go","Remedial Contractors"
4181,"Just Rubbish","Remedial Contractors"
4182,"Need A Skip Now","Remedial Contractors"
4183,"Get Out Rubbish","Remedial Contractors"
4184,"1800 Got Junk?","Remedial Contractors"
4523,"Aus-Pol Terrazzo Restorations","Remedial Contractors"
4524,"Shaft Drillers Australia Pty Ltd","Remedial Contractors"
4525,"Smooth Operators SEQ","Remedial Contractors"
4528,"Afrac Drilling Pty Ltd","Remedial Contractors"
4529,"Fast Cut Qld Pty Ltd","Remedial Contractors"
4533,"Brisbane Drilling & Sawing","Remedial Contractors"
4539,"Oakridge Sawing & Drilling","Remedial Contractors"
4540,"Australian Grinding Company","Remedial Contractors"
4542,"Cut & Core","Remedial Contractors"
4543,"BrisCore","Remedial Contractors"
4593,"Energy Platform","Remedial Contractors"
4597,"Xpert Energy Pty Ltd","Remedial Contractors"
4598,"SunSource Group","Remedial Contractors"
4600,"Swift Energy","Remedial Contractors"
4606,"Proven Energy Management","Remedial Contractors"
4612,"Secure Pty Ltd","Remedial Contractors"
4613,"Check2Protect","Remedial Contractors"
4614,"Lightbox Consulting","Remedial Contractors"
4616,"Secom Australia Pty Ltd","Remedial Contractors"
4618,"TDSi Australia Pty Ltd","Remedial Contractors"
4620,"PINPOINT SOLUTIONS","Remedial Contractors"
4621,"United Technology Solutions","Remedial Contractors"
4622,"Watchdog Surveillance","Remedial Contractors"
4623,"Easitag Pty Ltd","Remedial Contractors"
4624,"Live Eye Network Systems","Remedial Contractors"
4627,"Direct Alarm Supplies","Remedial Contractors"
4650,"Air Engineering Pty Ltd","Remedial Contractors"
4651,"Fans Direct","Remedial Contractors"
4653,"Austral Monsoon","Remedial Contractors"
4654,"Access Insulation","Remedial Contractors"
4656,"Cardiffair Commercial","Remedial Contractors"
4657,"EDA FUTURE PTY LTD","Remedial Contractors"
4661,"Air Equipment (Sales) Pty Ltd","Remedial Contractors"
4662,"Airlight Concepts","Remedial Contractors"
4665,"GlasCraft Australia Pty Ltd","Remedial Contractors"
4666,"Holyoake Ind (Qld) Pty Ltd","Remedial Contractors"
4668,"Expel Exhaust Fans Pty Ltd","Remedial Contractors"
4717,"BND Australia","Remedial Contractors"
4719,"Carl's Garage","Remedial Contractors"
4722,"Remote Pro","Remedial Contractors"
4723,"Airport Doors","Remedial Contractors"
4724,"Industrial Door Service","Remedial Contractors"
4726,"Chamberlain Australia","Remedial Contractors"
4728,"Frequentis Australasia Pty Ltd","Remedial Contractors"
4729,"Internal Communications & Electronics","Remedial Contractors"
4732,"Joda Technical Solutions","Remedial Contractors"
4733,"Fermax Queensland/EGi#","Remedial Contractors"
4735,"Wakefield Services","Remedial Contractors"
4736,"Oxenford Mini Storage","Remedial Contractors"
5053,"Take Away Bins","Remedial Contractors"
5054,"End of Waste","Remedial Contractors"
5055,"Jupiters Machine Gaming","Remedial Contractors"
5056,"Richards & Richards","Remedial Contractors"
5059,"Brissy Skips","Remedial Contractors"
5060,"1800 Got Junk","Remedial Contractors"
5062,"Garden Rubbish Bales","Remedial Contractors"
5063,"OneSkip Waste Management","Remedial Contractors"
5065,"Trash Heap Trailers","Remedial Contractors"
5067,"Recycle-It Skips","Remedial Contractors"
5069,"Pinkenba Waste & Recycling Pty Ltd","Remedial Contractors"
5070,"Collex Waste","Remedial Contractors"
5071,"Hunter Bros (Qld) Pty Ltd","Remedial Contractors"
5072,"Wanless Wastecorp","Remedial Contractors"
5073,"Wanless Enviro Services","Remedial Contractors"
5074,"Smartskip","Remedial Contractors"
5336,"Taman Diamond Tools","Remedial Contractors"
5337,"TDC Drilling Pty Ltd","Remedial Contractors"
5338,"GJ Gillett","Remedial Contractors"
5339,"WA Terrazzo Tile Manufacturers","Remedial Contractors"
5341,"Concut Pty Ltd","Remedial Contractors"
5342,"West Coast Surface Solutions","Remedial Contractors"
5343,"Diamond Blade Supplies","Remedial Contractors"
5344,"T & F Chasing","Remedial Contractors"
5345,"EDS Conctete Cutting & Coring","Remedial Contractors"
5347,"Cutting Edge Designs","Remedial Contractors"
5348,"Supercut (WA) Pty Ltd","Remedial Contractors"
5350,"Terpstra Enterprises","Remedial Contractors"
5351,"Kwikcut & Coring Pty Ltd","Remedial Contractors"
5352,"Precision Drilling Solutions Pty Ltd","Remedial Contractors"
5353,"Maintenance And Construction Services (Australia) Pty Ltd","Remedial Contractors"
5407,"Atco Australia","Remedial Contractors"
5414,"Infinite Energy","Remedial Contractors"
5415,"The Roof Insulation Company","Remedial Contractors"
5416,"DNX Energy Pty Ltd","Remedial Contractors"
5417,"Alco Battery Sales (Aust) Pty Ltd","Remedial Contractors"
5418,"Armenti Form & Space","Remedial Contractors"
5422,"Energy Visions","Remedial Contractors"
5423,"Alternate Energy Products","Remedial Contractors"
5424,"Sola Swim Pty Ltd","Remedial Contractors"
5425,"Daisy Pool Covers","Remedial Contractors"
5426,"Solamagic","Remedial Contractors"
5427,"Swan Energy Pty Ltd","Remedial Contractors"
5429,"Clean NRG","Remedial Contractors"
5431,"HECS FIRE","Remedial Contractors"
5465,"Easy Garage Repair","Remedial Contractors"
5468,"Cover Tracks Australia","Remedial Contractors"
5471,"New Remotes Australia","Remedial Contractors"
5477,"Direct Door Service","Remedial Contractors"
5479,"CSI Doors","Remedial Contractors"
5482,"Metro Door Service","Remedial Contractors"
5485,"NWSM","Remedial Contractors"
5487,"Roller Shutter Services","Remedial Contractors"
5488,"Perth Door Services","Remedial Contractors"
5489,"B J Systems","Remedial Contractors"
5490,"WA Safety","Remedial Contractors"
5491,"Aggreko - Welshpool","Remedial Contractors"
5787,"MODE 2 GROUP","Remedial Contractors"
5788,"A 'N' K Budget Bins","Remedial Contractors"
5789,"Cheapa Bins","Remedial Contractors"
5790,"TROY'S TRANSPORT","Remedial Contractors"
5791,"Sita Australia","Remedial Contractors"
5792,"Spider Waste Collection Services Pty Ltd","Remedial Contractors"
5793,"Rubbish Sack","Remedial Contractors"
5794,"DCG Recycling Pty Ltd","Remedial Contractors"
5796,"Reliable Litter Bag Service","Remedial Contractors"
5797,"A Bargain Bins","Remedial Contractors"
5798,"Four Seasons Garden Bags","Remedial Contractors"
5799,"MENGISTE, MESFIN GETACHEW","Remedial Contractors"
5800,"Suburban Rubbish Disposals","Remedial Contractors"
5801,"Steve's Garden Bags","Remedial Contractors"
5959,"Vacuum Waste Management","Remedial Contractors"
5961,"ME Construction Solutions","Remedial Contractors"
